specimenid,collector,sectionid,hosttree1,hosttree2,coordinates,county,site,datecollected,specimen_id
30209,Van T. Cotter,Sect. Phalloidaea,Betula,,"46.2491194167, -86.4147193889",Schoolcraft MI,Clear Lake Education Center,2024-09-07,30209
30208,Michael Hensley,Sect. Validae,Betula,Pinus,"46.24695, -86.41434",Schoolcraft MI,Clear Lake Education Center,2024-09-07,30208
30207,Michael Hensley,Sect. validae,"Spruce, fir, hemlock",betula,"46.37865, -86.45964",Alger country MI,Cusino,2024-09-07,30207
30206,Michael Hensley,,"Tsuga, Aibeis",Betula,"46.37864, -86.45969",Alger country MI,Cusino,2024-09-07,30206
30205,Michael Hensley,Sect. Amanita,"Spruce, fir",Hemlock,"46.37866, -86.4602",Alger country MI,Cusino,2024-09-07,30205
30204,Michael Hensley,Sect. Phalloidaea,fir,hemlock,"46.37868, -86.46028",Alger country MI,Cusino,2024-09-07,30204
30203,Michael Hensley,Sect. Phalloidaea,Tsuga nearish,,"46.37892, -86.46122",Alger country MI,Cusino,2024-09-07,30203
30202,Michael Hensley,Sect. Validae?,"Fir, spruce, Hemlock",Beech,"46.37894, -86.46157",Alger country MI,Cusino,2024-09-07,30202
30201,Megan Dudenhoeffer,Sect. Validae,Populus,Abies,no exact coordinates,Alger country MI,Cusino,2024-09-07,30201
30200,Michael Hensley,Phalloideae,Abies,populus,"46.37756, -86.46914",Alger country MI,Cusino,2024-09-07,30200
30199,Michael Hensley,Sect. Phalloidaea,Tsuga,Betula,"46.37791, -86.46825",Alger country MI,Cusino,2024-09-07,30199
30198,Michael Hensley,Sect. vaginatae,tsuga,betula,"46.37853, -86.46857",Alger country MI,Cusino,2024-09-07,30198
30197,Michael Hensley,Sect. Amanita,Betula,tsuga,"46.37876, -86.46794",Alger country MI,Cusino,2024-09-07,30197
30196,Michael Hensley,Sect. Amanita,Tsuga,Betula,"46.37904, -86.46747",Alger country MI,Cusino,2024-09-07,30196
30195,Michael Hensley,Sect. Phalloideae,Red pine,White pine,"46.87895, -87.86694",Marquette (MI),East Pine Lake,2024-09-01,30195
30194.2,Michael Hensley,Sect. Vaginatae,Hemlock,Birch,,Marquette,Mount Ives,2024-09-01,30194.2
30194,Michael Hensley,Sect. vaginatae,Hemlock,Birch,"46.85533, -87.85478",Marquette (MI),Mount Ives,2024-09-01,30194
30193.3,Michael Hensley,Sect. Vaginatae,Hemlock,Red Maple,,Marquette,Mount Ives,2024-09-01,30193.3
30193.2,Michael Hensley,Sect. Vaginatae,Hemlock,Red Maple,,,,2024-09-01,30193.2
30193,Michael Hensley,Sect. Vaginatae,Hemlock,Red Maple,"46.85532, -87.85707",Marquette (MI),Mount Ives,2024-09-01,30193
30192,Michael Hensley,Sect. Amanita,Hemlock,Birch/Beech,,Marquette (MI),Mount Ives,2024-09-01,30192
30191,Michael Hensley,Sect. Amanita,White pine,Red pine,"46.85457, -87.85189",Marquette (MI),North Ives Lake Trail,2024-09-01,30191
30190,Michael Hensley,Sect Amanita,White pine,Red pine,"46.85478, -87.85174",Marquette (MI),North Ives Lake Trail,2024-09-01,30190
30189,Michael Hensley,Sect. Vaginatae,Hemlock,,"46.8536, -87.84393",Marquette (MI),North Ives Lake Trail,2024-09-01,30189
30188,Michael Hensley,Vaginateae,White Oak,,"42.94241, -89.59132",Dane,Madison Metropolitan School Forest,2024-08-29,30188
30187.3,Michael Hensley,Phalloideae,Red Oak,,"42.85809, -89.49933",Dane,Brooklyn Wildlife Area,2024-08-28,30187.3
30187.2,Michael Hensley,Phalloideae,Red Oak,,"42.85805, -89.49941",Dane,Brooklyn Wildlife Area,2024-08-28,30187.2
30187,Michael Hensley,Phalloideae,Red Oak,,"42.85805, -89.49941",Dane,Brooklyn Wildlife Area,2024-08-28,30187
30186,Michael Hensley,Vaginatae,White Oak,,"42.85719, -89.49795",Dane,Brooklyn Wildlife Area,2024-08-28,30186
30185,Michael Hensley,Vaginatae,Red Oak,Black Oak,"42.85963, -89.49844",Dane,Brooklyn Wildlife Area,2024-08-28,30185
30184,Michael Hensley,Sect. Phalloideae,Black oak,Large toothed aspen,"42.85954, -89.49848",Dane,Brooklyn Wildlife Area,2024-08-28,30184
30183,Michael Hensley,Sect. Validae,White Oak,,"42.85944, -89.4991",Dane,Brooklyn Wildlife Area,2024-08-28,30183
30182,Michael Hensley,Phalloideae,Quercus rubra (Red Oak),,"43.1266, -89.37076",Dane,Warner Park,2024-08-26,30182
30181,Michael Hensley,Validae,Picea,,"43.22821, -89.73302",Dane,Lower Wisconsin State Riverway,2024-08-25,30181
