specimen_id,species,length_mm,width_mm,color,shape,decoration_bottom,decoration_top,staining,annulus,universal_veil,context_type,context_color,context_stain
30211,amanita muscaria var. guessowii,,,,,,,,,,,,
30212,,45,6,white and light brown,narrowing upward,floccose,scabrous,not apparent,absent,present,,,no
30213,,120,8,white with yellow tint,cylindrical,minutely scabrous,smooth,not apparent,present,present,hollow,white,no
30214,,60,5,white with yellow tint,cylindrical,smooth,smooth,not apparent,present,present,,,no
30215,,100,9,light grey-off white,cylindrical,smooth,smooth,not apparent,absent,present,,,no
30216,,95,7,white to light brown to white,cylindrical,minutely scabrous,smooth,grey,present,present,,,no
30217,,73,8,white,narrowing upward,fibrillose,smooth,slight brown,present,present,,,no
30218,,70,5,light bright yellow,cylindrical,smooth,smooth,not apparent,present,present,,,no
30219,,85,10,light yellow,narrowing upward,fribrillose,smooth,not apparent,present,present,,,no
30220,,123,5,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,hollow,white,no
30221,,83,8,white,narrowing upward,fibrillose,smooth,brown,present,present,,,no
30222,,61,7,white,narrowing upward,floccose,smooth,not apparent,present,present,,,no
30223,,67,8,white,narrowing upward,floccose,smooth,not apparent,present,present,,,no
30223_2,,72,9,white,narrowing upward,flocculose,smooth,not apparent,present,present,,,no
30223_3,,75,8,white,narrowing upward,flocculose,smooth,not apparent,present,present,,,no
30224,,99,8,tinged brown/yellow,narrowing upward,floccose,smooth,not apparent,present,present,,,no
30224_2,,105,9,white,narrowing upward,fibrillose,smooth,not apparent,present,present,,,no
30225,amanita populiphila,55,10,white,narrowing upward,minutely fibrillose,smooth,not apparent,absent,present,,,no
30226,amanita sp ny06,65,9,white,narrowing upward,smooth,smooth,not apparent,absent,present,,,no
30226_2,amanita sp ny06,,,white,narrowing upward,smooth,smooth,not apparent,absent,present,,,no
30227,amanita sp ny06,52,5,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,,,no
30228,amanita flavoconia,40,9,yellos,narrowing upward,smooth,smooth,not apparent,present,absent,,white,no
30229,,55,7,yellow,cylindrical,fibrillose,smooth,not apparent,present,absent,,white,no
30230,amanita aff. rubescens,90,10,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,no
30230_2,amanita aff. rubescens,108,12,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,no
30230_3,amanita aff. rubescens,135,13,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,no
30230_4,amanita aff. rubescens,180,15,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,no
30230_5,amanita aff. rubescens,125,17,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,no
30230_6,amanita aff. rubescens,137,20,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,no
30230_7,amanita aff. rubescens,40,5,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,no
30230_8,amanita aff. rubescens,95,13,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,,,no
30231,amanita aff. rubescens,112,17,white with pink stain,narrowing upward,transverse cracks,smooth,brick,,absent,,,no
30232,amanita aff. rubescens,87,12,red-brown,narrowing upward,minutely fibrillose,smooth,brick,present,absent,,,no
30233,amanita rhacopus,140,10,light-brown cream,narrowing upward,minutely scabrous,smooth,not apparent,absent,present,,,no
30234,amanita rhacopus,169,15,grey-brown,narrowing upward,minutely scabrous,smooth,not apparent,absent,present,,,no
30235,,50,6,white,cylindrical,smooth,smooth,not apparent,present,present,,,no
30236,,77,10,cream,narrowing upward,streaking,smooth,not apparent,present,present,,,no
30237,,105,7,white,narrowing upward,smooth,smooth,not apparent,absent,present,,,no
30238,,85,11,yellow,narrowing upward,floccose,floccose,brick,present,absent,,white,brick
30239,amanita virginiana,55,7,white,cylindrical,smooth,smooth,not apparent,present,present,,,no
30239_2,amanita virginiana,45,5,white,cylindrical,smooth,smooth,not apparent,present,present,,,no
30240,,115,5,white,narrowing upward,minutely scabrous,smooth,not apparent,present,present,,,no
30242,,60,7,butter yellow,cylindrical,floccose,smooth,not apparent,present,present,,,no
30243,,60,9,cream,narrowing upward,smooth,smooth,not apparent,,present,stuffed,cream,no
30244,,70,5,white,narrowing upward,minutely scabrous,smooth,not apparent,,present,stuffed,white,no
30245,,,,light orange,narrowing upward,smooth,smooth,not apparent,absent,present,,,no
30246,amanita brunnescens,50,20,white,narrowing upward,smooth,smooth,not apparent,,absent,solid-spongy,white,brown
30247,,85,10,white,narrowing upward,smooth,smooth,not apparent,absent,present,solid-spongy,white,no
30248,amanita brunnescens,80,15,white,narrowing upward,minutely scabrous,smooth,not apparent,,absent,,,no
30249,amanita sp ny06,65,5,white,cylindrical,minutely scabrous,smooth,not apparent,absent,present,,,no
30249_2,amanita sp ny06,40,5,white,cylindrical,minutely scabrous,smooth,not apparent,absent,present,,,no
30250,,80,10,cream,cylindrical,smooth,smooth,not apparent,absent,present,,,no
30250_2,,50,8,cream,cylindrical,smooth,smooth,not apparent,absent,present,,,no
30251,,165,15,white,narrowing upward,streaking,smooth,not apparent,absent,present,,,no
30252,amanita aff. rubescens,45,10,light brownish red,cylindrical,fibrillose,smooth,brick,present,absent,stuffed,,brown red
30253,amanita brunnescens,30,15,white,narrowing upward,,,not apparent,,absent,,,no
30254,amanita brunnescens,115,15,white,cylindrical,fibrillose,smooth,not apparent,present,absent,,,no
30255,,70,7,tan,narrowing upward,smooth,smooth,not apparent,absent,present,,,no
30256,amanita rhacopus,85,7,"white, light grey at bottom",narrowing upward,minutely scabrous,smooth,not apparent,absent,present,hollow,white,no
30257,,70,5,white,narrowing upward,smooth,smooth,not apparent,absent,present,hollow,white,no
30257_2,,100,10,white,narrowing upward,smooth,smooth,not apparent,absent,present,hollow,white,no
30258,amanita brunnescens,75,13,white,narrowing upward,streaking,,,present,absent,,,no
30259,amanita brunnescens,80,10,white,narrowing downward,streaking,smooth,slight brown tint,present,present,,,no
30260,amanita solaniolens,65,7,white near top brown streaks toward bottom,narrowing downward,streaking,minutely scabrous,not apparent,present,present,,,no
30261,,70,5,yellow tinge,narrowing upward,floccose,smooth,not apparent,present,present,,,no
30262,,105,7,white,narrowing upward,smooth,smooth,not apparent,absent,present,,,no
30263,amanita brunnescens,140,13,white light brown above annulus,narrowing upward,streaking,smooth,brick,present,absent,,white,no
30264,amanita aff. rubescens,30,17,white,,,,brick,,absent,,,no
30265,,90,15,white,narrowing upward,streaking,smooth,brown streaking,,present,,,no
30267,,135,15,white,narrowing upward,scabrous,smooth,not apparent,absent,present,,,no
30268,,110,8,light brown,narrowing upward,minutely scabrous,smooth,not apparent,absent,present,,,no
30269,,130,15,white,narrowing upward,smooth,smooth,not apparent,absent,present,,,no
30270,,65,15,white,narrowing upward,scabrous,,not apparent,,present,,,no
30271,,105,15,white,narrowing upward,smooth,smooth,brown,,present,,,no
30272,amanita brunnescens,110,5,cream,cylindrical,smooth,smooth,brown,present,present,,,no
30273,,110,10,white,narrowing upward,minutely scabrous,smooth,not apparent,present,present,stuffed,white,no
30274,,70,15,white,cylindrical,smooth,smooth,brown,,present,stuffed,white,brown
30274_2,,60,10,white,cylindrical,smooth,smooth,brown,,present,stuffed,white,brown
30275,amanita bisporigera,140,7,white,narrowing upward,smooth,smooth,not apparent,present,present,,,no
30276,,70,12,white,cylindrical,scabrous,scabrous,not apparent,present,present,solid,white,no
30277,amanita bisporigera,90,3,white,narrowing upward,smooth,minutely fibrillose,not apparent,present,present,,,no
30278,,130,7,cream top to light brown bottom,narrowing upward,minutely scabrous,smooth,not apparent,absent,present,hollow,white,no
30279,,55,20,white,narrowing upward,scabrous,smooth,not apparent,,present,,,no
30280,amanita populiphila,75,15,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,,,no
30280_2,amanita populiphila,90,15,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,,,no
30280_3,amanita populiphila,75,10,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,,,no
30280_4,amanita populiphila,70,7,white,narrowing upward,floccose,smooth,not apparent,absent,present,,,no
30280_5,amanita populiphila,60,10,white,narrowing upward,floccose,smooth,not apparent,absent,present,,,no
30280_6,amanita populiphila,70,14,white,narrowing upward,floccose,smooth,not apparent,absent,present,,,no
30280_7,amanita populiphila,75,15,white,narrowing upward,floccose,smooth,not apparent,absent,present,,,no
30281,amanita sp 44,50,6,cream,cylindrical,minutely scabrous,smooth,not apparent,absent,present,stuffed,white,no
30282,amanita sp 44,80,5,cream,narrowing upward,minutely fibrillose,smooth,not apparent,absent,present,,,no
30283,,60,18,yellow,narrowing upward,fibrillose,minutely scabrous,brick,present,absent,,,no
30284,amanita suballiacea,80,10,light brown,narrowing upward,scabrous,scabrous,not apparent,present,present,,,no
30285,amanita sp 44,80,10,grey,narrowing upward,minutely fibrillose,smooth,not apparent,absent,present,,,no
30286,amanita porphyria,60,7,light brown,narrowing upward,streaking,smooth,not apparent,present,present,,,no
30287,,90,10,white,narrowing upward,smooth,smooth,not apparent,present,absent,,,no
30291,,60,5,dingey white,cylindrical,scabrous,minutely scabrous,not apparent,present,present,,,no
30293,amanita porphyria,95,10,light brown,narrowing upward,scabrous,smooth,not apparent,present,absent,,,no
40220,,85,10,cream,cylindrical,minutely fibrillose,smooth,not apparent,present,present,,,no
