specimen_id,species,form,amount,distribution,end
30234,amanita rhacopus,uneven lengths,plentiful,uneven,truncate
30235,,uneven lengths,plentiful,even,rounded truncate
30236,,uneven lengths,plentiful,uneven,rounded truncate
30237,,uneven lengths,plentiful,uneven,truncate
30238,,uneven lengths,dispersed,uneven,truncate
30239,amanita virginiana,uneven lengths,plentiful,uneven,truncate
30239_2,amanita virginiana,uneven lengths,plentiful,uneven,truncate
30240,,uneven lengths,dispersed,uneven,rounded truncate
30242,,uneven lengths,dispersed,uneven,truncate
30243,,uneven lengths,not observed,not observed,not observed
30244,,uneven lengths,dispersed,uneven,truncate
30245,,not observed,not observed,not observed,not observed
30246,amanita brunnescens,not observed,not observed,not observed,not observed
30247,,not observed,not observed,not observed,not observed
30248,amanita brunnescens,uneven lengths,plentiful,uneven,rounded truncate
30249,amanita sp ny06,uneven lengths,dispersed,uneven,truncate
30249_2,amanita sp ny06,uneven lengths,dispersed,uneven,truncate
30250,,two lengths,dispersed,uneven,truncate
30250_2,,two lengths,dispersed,uneven,truncate
30251,,uneven lengths,dispersed,uneven,rounded truncate
30252,amanita aff. rubescens,uneven lengths,plentiful,uneven,truncate
30253,amanita brunnescens,not observed,not observed,not observed,not observed
30254,amanita brunnescens,uneven lengths,plentiful,uneven,rounded truncate
30255,,uneven lengths,dispersed,uneven,truncate
30256,amanita rhacopus,uneven lengths,not observed,uneven,truncate
30257,,uneven lengths,plentiful,uneven,truncate
30257_2,,uneven lengths,plentiful,uneven,truncate
30258,amanita brunnescens,uneven lengths,plentiful,uneven,rounded truncate
30259,amanita brunnescens,uneven lengths,plentiful,uneven,rounded truncate
30260,amanita solaniolens,uneven lengths,plentiful,uneven,rounded truncate
30261,,not observed,not observed,not observed,not observed
30262,,uneven lengths,not observed,not observed,not observed
30263,amanita brunnescens,uneven lengths,plentiful,uneven,truncate
30264,amanita aff. rubescens,not observed,not observed,not observed,not observed
30265,,uneven lengths,plentiful,even,rounded truncate
30267,,uneven lengths,dispersed,uneven,truncate
30268,,,,,
30269,,uneven lengths,dispersed,uneven,truncate
30270,,uneven lengths,dispersed,uneven,truncate
30271,,uneven lengths,plentiful,uneven,truncate
30272,amanita brunnescens,not observed,not observed,not observed,not observed
30273,,uneven lengths,plentiful,uneven,truncate
30274,,not observed,not observed,not observed,not observed
30274_2,,not observed,not observed,not observed,not observed
30275,amanita bisporigera,uneven lengths,plentiful,uneven,truncate
30276,,two lengths,plentiful,even,truncate
30277,amanita bisporigera,uneven lengths,plentiful,uneven,truncate
30278,,uneven lengths,plentiful,uneven,truncate
30279,,not observed,not observed,not observed,not observed
30280,amanita populiphila,uneven lengths,plentiful,uneven,truncate
30280_2,amanita populiphila,uneven lengths,plentiful,uneven,truncate
30280_3,amanita populiphila,uneven lengths,plentiful,uneven,truncate
30280_4,amanita populiphila,uneven lengths,plentiful,uneven,truncate
30280_5,amanita populiphila,uneven lengths,plentiful,uneven,truncate
30280_6,amanita populiphila,uneven lengths,plentiful,uneven,truncate
30280_7,amanita populiphila,uneven lengths,plentiful,uneven,truncate
30281,amanita sp 44,uneven lengths,plentiful,even,truncate
30282,amanita sp 44,uneven lengths,plentiful,uneven,truncate
30283,,one length,plentiful,uneven,rounded truncate
30284,amanita suballiacea,uneven lengths,plentiful,uneven,truncate
30285,amanita sp 44,uneven lengths,plentiful,uneven,truncate
30286,amanita porphyria,two lengths,plentiful,even,truncate
30287,,uneven lengths,plentiful,uneven,reduced
30291,,uneven lengths,plentiful,even,truncate
30293,amanita porphyria,uneven lengths,plentiful,uneven,rounded truncate
40220,,uneven lengths,plentiful,even,rounded truncate
