specimen_id,species,attachment,colorinmasse,distribution,staining,breadth,edge,othercomment
30252,amanita aff. rubescens,adnate,white,subcrowded,no,broad,smooth,
30253,amanita brunnescens,,,,,,,
30254,amanita brunnescens,free,white,crowded,no,broad,crenate,
30255,,adnexed,tan,subcrowded,no,broad,smooth,particles of annulus in gills
30256,amanita rhacopus,free,white,subcrowded,no,broad,smooth,
30257,,adnate,white,crowded,no,broad,fimbriate,
30257_2,,adnate,white,crowded,no,broad,fimbriate,
30258,amanita brunnescens,adnexed,cream,subcrowded,no,broad,crenate,
30259,amanita brunnescens,adnexed,white,crowded,no,narrow,crenate,
30260,amanita solaniolens,adnexed,white,subcrowded,no,broad,crenate,
30261,,adnexed,white,subcrowded,no,broad,smooth,
30262,,free,cream,subcrowded,no,broad,smooth,chewed up
30263,amanita brunnescens,free,white,crowded,no,broad,smooth,
30264,amanita aff. rubescens,,,,,,,
30265,,,white,subcrowded,no,broad,,annulus mostly covering
30267,,adnexed,white,crowded,no,broad,crenate,gills are constantly found eaten on this species
30268,,free,cream,subcrowded,no,broad,crenate,edge is brown
30269,,free,white,crowded,no,broad,crenate,gills are constantly found eaten on this species
30270,,free,white,crowded,no,broad,crenate,gills are constantly found eaten on this species
30271,,adnexed,white,crowded,no,broad,crenate,
30272,amanita brunnescens,adnexed,white,subcrowded,slight brown,broad,crenate,really chewed up
30273,,free,white,crowded,,broad,crenate,
30274,,,white,crowded,no,broad,minutely crenate,lamellae mostly covered
30274_2,,,white,crowded,no,broad,minutely crenate,
30275,amanita bisporigera,adnexed,white,crowded,no,broad,fimbriate,
30276,,adnexed,cream,subcrowded,no,broad,crenate,
30277,amanita bisporigera,adnexed,white,crowded,no,broad,fimbriate,
30278,,free,white,subcrowded,no,broad,fimbriate,
30279,,,,,,,,covered by annulus
30280,amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,
30280_2,amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,
30280_3,amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,
30280_4,amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,
30280_5,amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,
30280_6,amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,
30280_7,amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,
30281,amanita sp 44,adnexed,white,subcrowded,no,broad,crenate,
30282,amanita sp 44,adnexed,light brown,subcrowded,no,broad,crenate,
30283,,adnexed,white,crowded,no,broad,fimbriate,
30284,amanita suballiacea,free,white,subcrowded,no,broad,crenate,
30285,amanita sp 44,free,white,subcrowded,no,broad,crenate,check photo to see if gills are almost split
30286,amanita porphyria,adnexed,white,crowded,no,broad,fimbriate,
30287,,adnexed,yellow tint,crowded,no,broad,fimbriate,
30291,,free,cream,subcrowded,no,broad,fimbriate,
30293,amanita porphyria,adnexed,white,crowded,no,broad,smooth,
40220,,free,cream,subcrowded,no,broad,crenate,
