specimen_id,species,form,color,texture,attachment,distribution
30216,,patches,dingey white,membranous,adnate,3 or 4 small patches on one side
30217,,powder,dingey white,pulverulent,easily removed,a little on margin
30218,,,,,,
30219,,patches,white,membranous,adnate,small to large right on the margin
30220,,,,,,
30221,,warts,brown-white,membranous,adnate,even; semi-common
30222,,warts,white-light brown,submembranous,easily removed,dense and even
30223,,warts,white-light brown,submembranous,easily removed,dense and even
30223_2,,warts,white-light brown,submembranous,easily removed,dense and even
30223_3,,warts,white-light brown,submembranous,easily removed,dense and even
30224,,warts,white-light brown,submembranous,easily removed,dense and even
30224_2,,warts,white-light brown,submembranous,easily removed,dense and even
30225,amanita populiphila,warts,light pink,hard,adnate,sparse but evenish
30226,amanita sp ny06,patches,white,submembranous,easily removed,uneve and sparse
30226_2,amanita sp ny06,patches,white,submembranous,easily removed,uneve and sparse
30227,amanita sp ny06,patches,white,submembranous,easily removed,uneve and sparse
30228,amanita flavoconia,patches,white-yellow tinge,pulverulent,easily removed,uneven semi-sparse
30229,,patches,light yellow,pulverulent,easily removed,"plentiful, semi-even"
30230,amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse
30230_2,amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse
30230_3,amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse
30230_4,amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse
30230_5,amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse
30230_6,amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse
30230_7,amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse
30230_8,amanita aff. rubescens,patches,light pink,pulverulent,easily removed,uneven/sparse
30231,amanita aff. rubescens,,,,,
30232,amanita aff. rubescens,patches,cream,pulverulent,easily removed,uneven (only 1)
30233,amanita rhacopus,,,,,
30234,amanita rhacopus,,,,,
30235,,,,,,
30236,,patches,light brown,sub-membornous,easily removed,unevn
30237,,,,,,
30238,,warts,white in middle yellow on edge,,,uneven and dispersed
30239,amanita virginiana,patches,white,membranous,easily removed,singular patch
30239_2,amanita virginiana,patches,white,membranous,easily removed,singular patch
30240,,,,,,
30242,,warts,"white center, orange",pulvarulent,easily removed,common
30243,,,,,,
30244,,,,,,
30245,,,,,,
30246,amanita brunnescens,warts,white brown center,membranous,easily removed,fully covering center 50%
30247,,patches,white,submembranous,easily removed,one large central patch
30248,amanita brunnescens,patches,white brown tint,submembranous,easily removed,uneven common around pileus
30249,amanita sp ny06,warts,white,membranous,easily removed,1 to 3
30249_2,amanita sp ny06,warts,white,membranous,easily removed,1 to 3
30250,,,,,,
30250_2,,,,,,
30251,,,,,,
30252,amanita aff. rubescens,warts,white,sub-membranous,adnate,fully covered in rings
30253,amanita brunnescens,patches,white staining brown,sub-membranous,adnate,almost fully covered
30254,amanita brunnescens,warts,brown center white edges,sub-membranous,easily removed,"dispersed (uneven, ring around margin"
30255,,,,,,
30256,amanita rhacopus,warts,dark grey,sub-membranous,easily removed,clumps in center
30257,,,,,,
30257_2,,,,,,
30258,amanita brunnescens,patches,white,submembranous,easily removed,small and only 3 towards margin
30259,amanita brunnescens,patches,tan,pulverulent,easily removed,one large patch in middle
30260,amanita solaniolens,patches,cream to light brown,pulverulent,easily removed,two big patches neaar center
30261,,warts,yellow,pulverulent,easily removed,"dispersed, uneven"
30262,,,,,,
30263,amanita brunnescens,,,,,
30264,amanita aff. rubescens,warts,brown middle white margin,pulverulent,easily removed,almost fully covering
30265,,patches,white,pulverulent,easily removed,few towards margin
30267,,,,,,
30268,,,,,,
30269,,,,,,
30270,,,,,,
30271,,powder,white,pulverulent,easily removed,very little near margin
30272,amanita brunnescens,powder,white,pulverulent,easily removed,very dispersed only on margin
30273,,,,,,
30274,,scales,white,membranous,peels off with effort but also leaves residue behind,almost fully covering
30274_2,,scales,white,membranous,peels off with effort but also leaves residue behind,almost fully covering
30275,amanita bisporigera,,,,,
30276,,,,,,
30277,amanita bisporigera,,,,,
30278,,,,,,
30279,,,,,,
30280,amanita populiphila,warts,dingey white grey,membranous,adnate,common in center
30280_2,amanita populiphila,warts,dingey white grey,membranous,adnate,common in center
30280_3,amanita populiphila,warts,dingey white grey,membranous,adnate,common in center
30280_4,amanita populiphila,warts,dingey white grey,membranous,adnate,common in center
30280_5,amanita populiphila,warts,dingey white grey,membranous,adnate,common in center
30280_6,amanita populiphila,warts,dingey white grey,membranous,adnate,common in center
30280_7,amanita populiphila,warts,dingey white grey,membranous,adnate,common in center
30281,amanita sp 44,patches,cream,submembranous,easily removed,one patch
30282,amanita sp 44,,,,,
30283,,warts,brown to yellow,pulverulent,easily removed,even and plentiful across pielus
30284,amanita suballiacea,,,,,
30285,amanita sp 44,patches,white,membranous,adnate,1 patch towards margin
30286,amanita porphyria,powder,brown,pulverulent,easily removed,dispersed uneven
30287,,,,,,
30291,,patches,brown,pulverulent,easily removed,uneven dispersed
30293,amanita porphyria,powder,brown - dingey white,pulverulent,easily removed,uneven common
40220,,patches,tan,pulverulent,easily removed,full large pathc at center with dispersed warts towards margin
