specimen_id,species,attachment,colorinmasse,distribution,staining,breadth,edge,othercomment
30239,Amanita virginiana,adnexed,white,subcrowded,no,narrow,smooth,na
30239_2,Amanita virginiana,adnexed,white,subcrowded,no,narrow,smooth,na
30240,,free,white,subcrowded,no,broad,crenate,spore print white
30242,,free,white,Subdistant,no,not observed,not observed,na
30243,,not observed,white,crowded,no,broad,smooth,na
30244,,free,white,crowded,no,not observed,not observed,na
30245,,adnexed,cream,subcrowded,no,not observed,not observed,na
30246,Amanita brunnescens,na,na,na,na,na,na,na
30247,,free,white,subcrowded,no,broad,smooth,na
30248,Amanita brunnescens,free,white,crowded,no,broad,smooth,na
30249,Amanita sp NY06,adnexed,white,subcrowded,no,not observed,not observed,na
30249_2,Amanita sp NY06,adnexed,white,subcrowded,no,not observed,not observed,na
30250,,free,white,subcrowded,no,not observed,not observed,na
30250_2,,free,white,subcrowded,no,not observed,not observed,na
30251,,free,white,crowded,no,broad,crenate,na
30252,Amanita aff. rubescens,adnate,white,subcrowded,no,broad,smooth,na
30253,Amanita brunnescens,na,na,na,na,na,na,na
30254,Amanita brunnescens,free,white,crowded,no,broad,crenate,na
30255,,adnexed,tan,subcrowded,no,broad,smooth,particles of annulus in gills
30256,Amanita rhacopus,free,white,subcrowded,no,broad,smooth,na
30257,,adnate,white,crowded,no,broad,fimbriate,na
30257_2,,adnate,white,crowded,no,broad,fimbriate,na
30258,Amanita brunnescens,adnexed,cream,subcrowded,no,broad,crenate,na
30259,Amanita brunnescens,adnexed,white,crowded,no,narrow,crenate,na
30260,Amanita solaniolens,adnexed,white,subcrowded,no,broad,crenate,na
30261,,adnexed,white,subcrowded,no,broad,smooth,na
30262,,free,cream,subcrowded,no,broad,smooth,chewed up
30263,Amanita brunnescens,free,white,crowded,no,broad,smooth,na
30264,Amanita aff. rubescens,na,na,na,na,na,na,na
30265,,na,white,subcrowded,no,broad,na,annulus mostly covering
30267,,adnexed,white,crowded,no,broad,crenate,gills are constantly found eaten on this species
30268,,free,cream,subcrowded,no,broad,crenate,edge is brown
30269,,free,white,crowded,no,broad,crenate,gills are constantly found eaten on this species
30270,,free,white,crowded,no,broad,crenate,gills are constantly found eaten on this species
30271,,adnexed,white,crowded,no,broad,crenate,na
30272,Amanita brunnescens,adnexed,white,subcrowded,slight brown,broad,crenate,really chewed up
30273,,free,white,crowded,na,broad,crenate,na
30274,,na,white,crowded,no,broad,minutely crenate,lamellae mostly covered
30274_2,,na,white,crowded,no,broad,minutely crenate,na
30275,Amanita bisporigera,adnexed,white,crowded,no,broad,fimbriate,na
30276,,adnexed,cream,subcrowded,no,broad,crenate,na
30277,Amanita bisporigera,adnexed,white,crowded,no,broad,fimbriate,na
30278,,free,white,subcrowded,no,broad,fimbriate,na
30279,,na,na,na,na,na,na,covered by annulus
30280,Amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,na
30280_2,Amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,na
30280_3,Amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,na
30280_4,Amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,na
30280_5,Amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,na
30280_6,Amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,na
30280_7,Amanita populiphila,narrowly adnexed,white with pinkish hue,crowded,no,broad,fimbriate,na
30281,Amanita sp 44,adnexed,white,subcrowded,no,broad,crenate,na
30282,Amanita sp 44,adnexed,light brown,subcrowded,no,broad,crenate,na
30283,,adnexed,white,crowded,no,broad,fimbriate,na
30284,Amanita suballiacea,free,white,subcrowded,no,broad,crenate,na
30285,Amanita sp 44,free,white,subcrowded,no,broad,crenate,check photo to see if gills are almost split
30286,Amanita porphyria,adnexed,white,crowded,no,broad,fimbriate,na
30287,,adnexed,yellow tint,crowded,no,broad,fimbriate,na
30291,,free,cream,subcrowded,no,broad,fimbriate,na
30293,Amanita porphyria,adnexed,white,crowded,no,broad,smooth,na
40220,,free,cream,subcrowded,no,broad,crenate,na
