specimen_id,species,form,amount,distribution,end,
30231,Amanita aff. rubescens,uneven lengths,plentiful,uneven,truncate,
30232,Amanita aff. rubescens,uneven lengths,dispersed,uneven,truncate,
30233,Amanita rhacopus,uneven lengths,plentiful,uneven,truncate,
30234,Amanita rhacopus,uneven lengths,plentiful,uneven,truncate,
30235,,uneven lengths,plentiful,even,rounded truncate,
30236,,uneven lengths,plentiful,uneven,rounded truncate,
30237,,uneven lengths,plentiful,uneven,truncate,
30238,,uneven lengths,dispersed,uneven,truncate,
30239,Amanita virginiana,uneven lengths,plentiful,uneven,truncate,
30239_2,Amanita virginiana,uneven lengths,plentiful,uneven,truncate,
30240,,uneven lengths,dispersed,uneven,rounded truncate,
30242,,uneven lengths,dispersed,uneven,truncate,
30243,,uneven lengths,not observed,not observed,not observed,
30244,,uneven lengths,dispersed,uneven,truncate,
30245,,not observed,not observed,not observed,not observed,
30246,Amanita brunnescens,not observed,not observed,not observed,not observed,
30247,,not observed,not observed,not observed,not observed,
30248,Amanita brunnescens,uneven lengths,plentiful,uneven,rounded truncate,
30249,Amanita sp NY06,uneven lengths,dispersed,uneven,truncate,
30249_2,Amanita sp NY06,uneven lengths,dispersed,uneven,truncate,
30250,,two lengths,dispersed,uneven,truncate,
30250_2,,two lengths,dispersed,uneven,truncate,
30251,,uneven lengths,dispersed,uneven,rounded truncate,
30252,Amanita aff. rubescens,uneven lengths,plentiful,uneven,truncate,
30253,Amanita brunnescens,not observed,not observed,not observed,not observed,
30254,Amanita brunnescens,uneven lengths,plentiful,uneven,rounded truncate,
30255,,uneven lengths,dispersed,uneven,truncate,
30256,Amanita rhacopus,uneven lengths,not observed,uneven,truncate,
30257,,uneven lengths,plentiful,uneven,truncate,
30257_2,,uneven lengths,plentiful,uneven,truncate,
30258,Amanita brunnescens,uneven lengths,plentiful,uneven,rounded truncate,
30259,Amanita brunnescens,uneven lengths,plentiful,uneven,rounded truncate,
30260,Amanita solaniolens,uneven lengths,plentiful,uneven,rounded truncate,
30261,,not observed,not observed,not observed,not observed,
30262,,uneven lengths,not observed,not observed,not observed,
30263,Amanita brunnescens,uneven lengths,plentiful,uneven,truncate,
30264,Amanita aff. rubescens,not observed,not observed,not observed,not observed,
30265,,uneven lengths,plentiful,even,rounded truncate,
30267,,uneven lengths,dispersed,uneven,truncate,
30268,,na,na,na,na,
30269,,uneven lengths,dispersed,uneven,truncate,
30270,,uneven lengths,dispersed,uneven,truncate,
30271,,uneven lengths,plentiful,uneven,truncate,
30272,Amanita brunnescens,not observed,not observed,not observed,not observed,
30273,,uneven lengths,plentiful,uneven,truncate,
30274,,not observed,not observed,not observed,not observed,
30274_2,,not observed,not observed,not observed,not observed,
30275,Amanita bisporigera,uneven lengths,plentiful,uneven,truncate,
30276,,two lengths,plentiful,even,truncate,
30277,Amanita bisporigera,uneven lengths,plentiful,uneven,truncate,
30278,,uneven lengths,plentiful,uneven,truncate,
30279,,not observed,not observed,not observed,not observed,
30280,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,
30280_2,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,
30280_3,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,
30280_4,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,
30280_5,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,
30280_6,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,
30280_7,Amanita populiphila,uneven lengths,plentiful,uneven,truncate,
30281,Amanita sp 44,uneven lengths,plentiful,even,truncate,
30282,Amanita sp 44,uneven lengths,plentiful,uneven,truncate,
30283,,one length,plentiful,uneven,rounded truncate,
30284,Amanita suballiacea,uneven lengths,plentiful,uneven,truncate,
30285,Amanita sp 44,uneven lengths,plentiful,uneven,truncate,
30286,Amanita porphyria,two lengths,plentiful,even,truncate,
30287,,uneven lengths,plentiful,uneven,reduced,
30291,,uneven lengths,plentiful,even,truncate,
30293,Amanita porphyria,uneven lengths,plentiful,uneven,rounded truncate,
40220,,uneven lengths,plentiful,even,rounded truncate,
