specimen_id,species,length_mm,width_mm,color,shape,decoration_bottom,decoration_top,staining,annulus,universal_veil,context_type,context_color,context_stain,
30205,Amanita flavoconia,47,5,yellow-brown,narrowing upward,smooth,smooth,not apparent,absent,absent,na,na,no,
30206,Amanita flavoconia,37,4,yellow,narrowing upward,fibrillose,smooth,not apparent,present,absent,na,na,no,
30207,,95,9,white-dingey white,narrowing upward,floccose,smooth,not apparent,present,present,na,na,no,
30208,,65,7,dingey white,cylindrical,smooth,smooth,not apparent,present,present,na,na,no,
30208_2,,60,8,white,cylindrical,smooth,smooth,not apparent,present,present,na,na,no,
30209,Amanita amerivirosa,33,11,white,narrowing upward,scabrous,smooth,not apparent,present,present,na,na,no,
30210,Amanita muscaria var. guessowii,75,9,light yellow,cylindrical,floccose,floccose,not apparent,present,present,na,na,no,
30211,Amanita muscaria var. guessowii,na,na,na,na,na,na,na,na,na,na,na,na,
30212,,45,6,white and light brown,narrowing upward,floccose,scabrous,not apparent,absent,present,na,na,no,
30213,,120,8,white with yellow tint,cylindrical,minutely scabrous,smooth,not apparent,present,present,hollow,white,no,
30214,,60,5,white with yellow tint,cylindrical,smooth,smooth,not apparent,present,present,na,na,no,
30215,,100,9,light grey-off white,cylindrical,smooth,smooth,not apparent,absent,present,na,na,no,
30216,,95,7,white to light brown to white,cylindrical,minutely scabrous,smooth,grey,present,present,na,na,no,
30217,,73,8,white,narrowing upward,fibrillose,smooth,slight brown,present,present,na,na,no,
30218,,70,5,light bright yellow,cylindrical,smooth,smooth,not apparent,present,present,na,na,no,
30219,,85,10,light yellow,narrowing upward,fribrillose,smooth,not apparent,present,present,na,na,no,
30220,,123,5,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,hollow,white,no,
30221,,83,8,white,narrowing upward,fibrillose,smooth,brown,present,present,na,na,no,
30222,,61,7,white,narrowing upward,floccose,smooth,not apparent,present,present,na,na,no,
30223,,67,8,white,narrowing upward,floccose,smooth,not apparent,present,present,na,na,no,
30223_2,,72,9,white,narrowing upward,flocculose,smooth,not apparent,present,present,na,na,no,
30223_3,,75,8,white,narrowing upward,flocculose,smooth,not apparent,present,present,na,na,no,
30224,,99,8,tinged brown/yellow,narrowing upward,floccose,smooth,not apparent,present,present,na,na,no,
30224_2,,105,9,white,narrowing upward,fibrillose,smooth,not apparent,present,present,na,na,no,
30225,Amanita populiphila,55,10,white,narrowing upward,minutely fibrillose,smooth,not apparent,absent,present,na,na,no,
30226,Amanita sp NY06,65,9,white,narrowing upward,smooth,smooth,not apparent,absent,present,na,na,no,
30226_2,Amanita sp NY06,not observed,not observed,white,narrowing upward,smooth,smooth,not apparent,absent,present,na,na,no,
30227,Amanita sp NY06,52,5,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,na,na,no,
30228,Amanita flavoconia,40,9,yellos,narrowing upward,smooth,smooth,not apparent,present,absent,na,white,no,
30229,,55,7,yellow,cylindrical,fibrillose,smooth,not apparent,present,absent,na,white,no,
30230,Amanita aff. rubescens,90,10,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,na,na,no,
30230_2,Amanita aff. rubescens,108,12,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,na,na,no,
30230_3,Amanita aff. rubescens,135,13,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,na,na,no,
30230_4,Amanita aff. rubescens,180,15,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,na,na,no,
30230_5,Amanita aff. rubescens,125,17,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,na,na,no,
30230_6,Amanita aff. rubescens,137,20,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,na,na,no,
30230_7,Amanita aff. rubescens,40,5,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,na,na,no,
30230_8,Amanita aff. rubescens,95,13,light pink,narrowing upward,fibrillose,smooth,brick,present,absent,na,na,no,
30231,Amanita aff. rubescens,112,17,white with pink stain,narrowing upward,transverse cracks,smooth,brick,na,absent,na,na,no,
30232,Amanita aff. rubescens,87,12,red-brown,narrowing upward,minutely fibrillose,smooth,brick,present,absent,na,na,no,
30233,Amanita rhacopus,140,10,light-brown cream,narrowing upward,minutely scabrous,smooth,not apparent,absent,present,na,na,no,
30234,Amanita rhacopus,169,15,grey-brown,narrowing upward,minutely scabrous,smooth,not apparent,absent,present,na,na,no,
30235,,50,6,white,cylindrical,smooth,smooth,not apparent,present,present,na,na,no,
30236,,77,10,cream,narrowing upward,streaking,smooth,not apparent,present,present,na,na,no,
30237,,105,7,white,narrowing upward,smooth,smooth,not apparent,absent,present,na,na,no,
30238,,85,11,yellow,narrowing upward,floccose,floccose,brick,present,absent,na,white,brick,
30239,Amanita virginiana,55,7,white,cylindrical,smooth,smooth,not apparent,present,present,na,na,no,
30239_2,Amanita virginiana,45,5,white,cylindrical,smooth,smooth,not apparent,present,present,na,na,no,
30240,,115,5,white,narrowing upward,minutely scabrous,smooth,not apparent,present,present,na,na,no,
30242,,60,7,butter yellow,cylindrical,floccose,smooth,not apparent,present,present,na,na,no,
30243,,60,9,cream,narrowing upward,smooth,smooth,not apparent,na,present,stuffed,cream,no,
30244,,70,5,white,narrowing upward,minutely scabrous,smooth,not apparent,na,present,stuffed,white,no,
30245,,not observed,not observed,light orange,narrowing upward,smooth,smooth,not apparent,absent,present,na,na,no,
30246,Amanita brunnescens,50,20,white,narrowing upward,smooth,smooth,not apparent,na,absent,solid-spongy,white,brown,
30247,,85,10,white,narrowing upward,smooth,smooth,not apparent,absent,present,solid-spongy,white,no,
30248,Amanita brunnescens,80,15,white,narrowing upward,minutely scabrous,smooth,not apparent,na,absent,na,na,no,
30249,Amanita sp NY06,65,5,white,cylindrical,minutely scabrous,smooth,not apparent,absent,present,na,na,no,
30249_2,Amanita sp NY06,40,5,white,cylindrical,minutely scabrous,smooth,not apparent,absent,present,na,na,no,
30250,,80,10,cream,cylindrical,smooth,smooth,not apparent,absent,present,na,na,no,
30250_2,,50,8,cream,cylindrical,smooth,smooth,not apparent,absent,present,na,na,no,
30251,,165,15,white,narrowing upward,streaking,smooth,not apparent,absent,present,na,na,no,
30252,Amanita aff. rubescens,45,10,light brownish red,cylindrical,fibrillose,smooth,brick,present,absent,stuffed,na,brown red,
30253,Amanita brunnescens,30,15,white,narrowing upward,na,na,not apparent,na,absent,na,na,no,
30254,Amanita brunnescens,115,15,white,cylindrical,fibrillose,smooth,not apparent,present,absent,na,na,no,
30255,,70,7,tan,narrowing upward,smooth,smooth,not apparent,absent,present,na,na,no,
30256,Amanita rhacopus,85,7,"white, light grey at bottom",narrowing upward,minutely scabrous,smooth,not apparent,absent,present,hollow,white,no,
30257,,70,5,white,narrowing upward,smooth,smooth,not apparent,absent,present,hollow,white,no,
30257_2,,100,10,white,narrowing upward,smooth,smooth,not apparent,absent,present,hollow,white,no,
30258,Amanita brunnescens,75,13,white,narrowing upward,streaking,na,na,present,absent,na,na,no,
30259,Amanita brunnescens,80,10,white,narrowing downward,streaking,smooth,slight brown tint,present,present,na,na,no,
30260,Amanita solaniolens,65,7,white near top brown streaks toward bottom,narrowing downward,streaking,minutely scabrous,not apparent,present,present,na,na,no,
30261,,70,5,yellow tinge,narrowing upward,floccose,smooth,not apparent,present,present,na,na,no,
30262,,105,7,white,narrowing upward,smooth,smooth,not apparent,absent,present,na,na,no,
30263,Amanita brunnescens,140,13,white light brown above annulus,narrowing upward,streaking,smooth,brick,present,absent,na,white,no,
30264,Amanita aff. rubescens,30,17,white,na,na,na,brick,na,absent,na,na,no,
30265,,90,15,white,narrowing upward,streaking,smooth,brown streaking,na,present,na,na,no,
30267,,135,15,white,narrowing upward,scabrous,smooth,not apparent,absent,present,na,na,no,
30268,,110,8,light brown,narrowing upward,minutely scabrous,smooth,not apparent,absent,present,na,na,no,
30269,,130,15,white,narrowing upward,smooth,smooth,not apparent,absent,present,na,na,no,
30270,,65,15,white,narrowing upward,scabrous,na,not apparent,na,present,na,na,no,
30271,,105,15,white,narrowing upward,smooth,smooth,brown,na,present,na,na,no,
30272,Amanita brunnescens,110,5,cream,cylindrical,smooth,smooth,brown,present,present,na,na,no,
30273,,110,10,white,narrowing upward,minutely scabrous,smooth,not apparent,present,present,stuffed,white,no,
30274,,70,15,white,cylindrical,smooth,smooth,brown,na,present,stuffed,white,brown,
30274_2,,60,10,white,cylindrical,smooth,smooth,brown,na,present,stuffed,white,brown,
30275,Amanita bisporigera,140,7,white,narrowing upward,smooth,smooth,not apparent,present,present,na,na,no,
30276,,70,12,white,cylindrical,scabrous,scabrous,not apparent,present,present,solid,white,no,
30277,Amanita bisporigera,90,3,white,narrowing upward,smooth,minutely fibrillose,not apparent,present,present,na,na,no,
30278,,130,7,cream top to light brown bottom,narrowing upward,minutely scabrous,smooth,not apparent,absent,present,hollow,white,no,
30279,,55,20,white,narrowing upward,scabrous,smooth,not apparent,na,present,na,na,no,
30280,Amanita populiphila,75,15,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,na,na,no,
30280_2,Amanita populiphila,90,15,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,na,na,no,
30280_3,Amanita populiphila,75,10,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,na,na,no,
30280_4,Amanita populiphila,70,7,white,narrowing upward,floccose,smooth,not apparent,absent,present,na,na,no,
30280_5,Amanita populiphila,60,10,white,narrowing upward,floccose,smooth,not apparent,absent,present,na,na,no,
30280_6,Amanita populiphila,70,14,white,narrowing upward,floccose,smooth,not apparent,absent,present,na,na,no,
30280_7,Amanita populiphila,75,15,white,narrowing upward,floccose,smooth,not apparent,absent,present,na,na,no,
30281,Amanita sp 44,50,6,cream,cylindrical,minutely scabrous,smooth,not apparent,absent,present,stuffed,white,no,
30282,Amanita sp 44,80,5,cream,narrowing upward,minutely fibrillose,smooth,not apparent,absent,present,na,na,no,
30283,,60,18,yellow,narrowing upward,fibrillose,minutely scabrous,brick,present,absent,na,na,no,
30284,Amanita suballiacea,80,10,light brown,narrowing upward,scabrous,scabrous,not apparent,present,present,na,na,no,
30285,Amanita sp 44,80,10,grey,narrowing upward,minutely fibrillose,smooth,not apparent,absent,present,na,na,no,
30286,Amanita porphyria,60,7,light brown,narrowing upward,streaking,smooth,not apparent,present,present,na,na,no,
30287,,90,10,white,narrowing upward,smooth,smooth,not apparent,present,absent,na,na,no,
30291,,60,5,dingey white,cylindrical,scabrous,minutely scabrous,not apparent,present,present,na,na,no,
30293,Amanita porphyria,95,10,light brown,narrowing upward,scabrous,smooth,not apparent,present,absent,na,na,no,
40220,,85,10,cream,cylindrical,minutely fibrillose,smooth,not apparent,present,present,na,na,no,
