specimen_id,species,form,color,texture,attachment,distribution,
30239_2,Amanita virginiana,patches,white,membranous,easily removed,singular patch,
30240,,na,na,na,na,na,
30242,,warts,"white center, orange",pulvarulent,easily removed,common,
30243,,na,na,na,na,na,
30244,,na,na,na,na,na,
30245,,na,na,na,na,na,
30246,Amanita brunnescens,warts,white brown center,membranous,easily removed,fully covering center 50%,
30247,,patches,white,submembranous,easily removed,one large central patch,
30248,Amanita brunnescens,patches,white brown tint,submembranous,easily removed,uneven common around pileus,
30249,Amanita sp NY06,warts,white,membranous,easily removed,1 to 3,
30249_2,Amanita sp NY06,warts,white,membranous,easily removed,1 to 3,
30250,,na,na,na,na,na,
30250_2,,na,na,na,na,na,
30251,,na,na,na,na,na,
30252,Amanita aff. rubescens,warts,white,sub-membranous,adnate,fully covered in rings,
30253,Amanita brunnescens,patches,white staining brown,sub-membranous,adnate,almost fully covered,
30254,Amanita brunnescens,warts,brown center white edges,sub-membranous,easily removed,"dispersed (uneven, ring around margin",
30255,,na,na,na,na,na,
30256,Amanita rhacopus,warts,dark grey,sub-membranous,easily removed,clumps in center,
30257,,na,na,na,na,na,
30257_2,,na,na,na,na,na,
30258,Amanita brunnescens,patches,white,submembranous,easily removed,small and only 3 towards margin,
30259,Amanita brunnescens,patches,tan,pulverulent,easily removed,one large patch in middle,
30260,Amanita solaniolens,patches,cream to light brown,pulverulent,easily removed,two big patches neaar center,
30261,,warts,yellow,pulverulent,easily removed,"dispersed, uneven",
30262,,na,na,na,na,na,
30263,Amanita brunnescens,na,na,na,na,na,
30264,Amanita aff. rubescens,warts,brown middle white margin,pulverulent,easily removed,almost fully covering,
30265,,patches,white,pulverulent,easily removed,few towards margin,
30267,,na,na,na,na,na,
30268,,na,na,na,na,na,
30269,,na,na,na,na,na,
30270,,na,na,na,na,na,
30271,,powder,white,pulverulent,easily removed,very little near margin,
30272,Amanita brunnescens,powder,white,pulverulent,easily removed,very dispersed only on margin,
30273,,na,na,na,na,na,
30274,,scales,white,membranous,peels off with effort but also leaves residue behind,almost fully covering,
30274_2,,scales,white,membranous,peels off with effort but also leaves residue behind,almost fully covering,
30275,Amanita bisporigera,na,na,na,na,na,
30276,,na,na,na,na,na,
30277,Amanita bisporigera,na,na,na,na,na,
30278,,na,na,na,na,na,
30279,,na,na,na,na,na,
30280,Amanita populiphila,warts,dingey white grey,membranous,adnate,common in center,
30280_2,Amanita populiphila,warts,dingey white grey,membranous,adnate,common in center,
30280_3,Amanita populiphila,warts,dingey white grey,membranous,adnate,common in center,
30280_4,Amanita populiphila,warts,dingey white grey,membranous,adnate,common in center,
30280_5,Amanita populiphila,warts,dingey white grey,membranous,adnate,common in center,
30280_6,Amanita populiphila,warts,dingey white grey,membranous,adnate,common in center,
30280_7,Amanita populiphila,warts,dingey white grey,membranous,adnate,common in center,
30281,Amanita sp 44,patches,cream,submembranous,easily removed,one patch,
30282,Amanita sp 44,na,na,na,na,na,
30283,,warts,brown to yellow,pulverulent,easily removed,even and plentiful across pielus,
30284,Amanita suballiacea,na,na,na,na,na,
30285,Amanita sp 44,patches,white,membranous,adnate,1 patch towards margin,
30286,Amanita porphyria,powder,brown,pulverulent,easily removed,dispersed uneven,
30287,,na,na,na,na,na,
30291,,patches,brown,pulverulent,easily removed,uneven dispersed,
30293,Amanita porphyria,powder,brown - dingey white,pulverulent,easily removed,uneven common,
40220,,patches,tan,pulverulent,easily removed,full large pathc at center with dispersed warts towards margin,
